A,003779
A,003895
A,004080
A,004259
A,004275
A,004446
A,004704
A,004705
A,004787
A,004869
A,005097
A,005108
A,005191
A,005239
A,005295
A,005352
A,005412
A,005478
A,005505
A,005541
A,005652
A,005653
A,005679
A,005984
A,006007
A,006028
A,012488
A,014218
A,015979
A,022306
A,024679
A,027421
A,027508
A,027521
A,027530
A,027533
A,027549
A,027621
A,027690
A,027696
A,027707
A,027801
A,027828
A,027841
A,027845
A,027865
A,027891
A,027900
A,027905
A,027937
A,027980
A,027981
A,027984
A,028001
A,028040
A,028048
A,028063
A,028184
A,028289
A,028436
A,035270
A,044751
A,001432
A,003240
A,004197
A,005955
A,012770
A,014201
A,016587
A,045262
A,056565
A,068003
A,079427
A,090083
A,109527
A,000439
A,000466
A,000878
A,000884
A,001313
A,001320
A,001726
A,001860
A,002469
A,003096
A,003389
A,003390
A,003391
A,004085
A,004214
A,005026
A,005246
A,005887
A,024656
A,028224
A,028430
A,062748
A,077149
A,000649
A,001131
A,004952
A,010070
A,010071
A,010164
A,010267
A,010509
A,010785
A,010882
A,010911
A,010933
A,010958
A,011061
A,011063
A,011189
A,011273
A,011283
A,011436
A,011494
A,011516
A,011526
A,011823
A,011825
A,011874
A,012376
A,012708
A,012892
A,012941
A,012945
A,012997
A,012999
A,013295
A,013332
A,013351
A,013450
A,013535
A,013550
A,013631
A,013935
A,013989
A,014092
A,014253
A,014254
A,014301
A,014322
A,014538
A,014557
A,014582
A,015421
A,015622
A,015740
A,015993
A,016117
A,016170
A,016496
A,016518
A,016786
A,016850
A,016871
A,016936
A,017156
A,017315
A,017653
A,017765
A,017850
A,018058
A,018112
A,018215
A,018233
A,018299
A,018449
A,018481
A,018986
A,019000
A,019062
A,019213
A,019385
A,019409
A,019790
A,020351
A,020372
A,020391
A,020431
A,020475
A,020476
A,020514
A,020866
A,021059
A,021092
A,021271
A,021482
A,021999
A,022103
A,022558
A,022974
A,023057
A,023076
A,023120
A,023591
A,023881
A,023892
A,024598
A,025044
A,026000
A,026592
A,028133
A,031027
A,031119
A,031664
A,031737
A,031810
A,031891
A,032334
A,032992
A,033381
A,034165
A,034698
A,035232
A,035251
A,035630
A,036182
A,037666
A,038901
A,040063
A,040483
A,040727
A,043283
A,043332
A,045532
A,047712
A,048292
A,048929
A,050600
A,051163
A,052227
A,052245
A,052559
A,053267
A,053550
A,054004
A,055076
A,055334
A,055810
A,056121
A,056728
A,058227
A,059810
A,059911
A,061751
A,061752
A,062458
A,063569
A,063926
A,064571
A,065665
A,067382
A,069478
A,073213
A,075916
A,077245
A,080093
A,081457
A,082112
A,085541
A,085599
A,085672
A,085906
A,088334
A,088337
A,090246
A,091075
A,092778
A,093117
A,093342
A,096814
A,097170
A,097448
A,097883
A,098465
A,098574
A,099250
A,099452
A,102745
A,108238
A,112593
A,116516
A,000045
A,001879
A,001895
A,003578
A,005852
A,011144
A,011225
A,012255
A,012563
A,013162
A,013670
A,017827
A,018414
A,019486
A,019958
A,019962
A,020549
A,022120
A,023527
A,025842
A,031256
A,035426
A,036280
A,042778
A,044710
A,048912
A,059871
A,061541
A,064229
A,075865
A,081994
A,089813
A,091225
A,092728
A,096263
A,096433
A,098563
A,109432
A,000571
A,000587
A,001372
A,002203
A,003132
A,011492
A,012010
A,012025
A,020163
A,020982
A,094129
A,095272
A,096217
A,096462
A,098156
A,000705
A,003930
A,011570
A,011881
A,016183
A,018467
A,024779
A,026763
A,037441
A,040742
A,047465
A,052558
A,055664
A,062643
A,067722
A,067761
A,081008
A,094725
A,002855
A,010824
A,012358
A,012485
A,013319
A,014179
A,014611
A,016285
A,016423
A,016965
A,017190
A,017329
A,017639
A,017923
A,017930
A,018712
A,019089
A,019696
A,020479
A,021448
A,022696
A,023614
A,028175
A,047310
A,061003
A,069778
A,000180
A,000533
A,001317
A,001421
A,001561
A,001971
A,001972
A,001998
A,002202
A,003292
A,003992
A,004255
A,005049
A,005464
A,005753
A,005807
A,006827
A,009094
A,010041
A,010082
A,010084
A,010090
A,010135
A,010144
A,010163
A,010169
A,010174
A,010181
A,010187
A,010197
A,010213
A,010216
A,010220
A,010221
A,010234
A,010245
A,010246
A,010260
A,010270
A,010296
A,010321
A,010338
A,010362
A,010363
A,010370
A,010390
A,010400
A,010406
A,010407
A,010412
A,010415
A,010444
A,010445
A,010452
A,010459
A,010474
A,010688
A,010782
A,010969
A,011081
A,011083
A,011089
A,011424
A,011521
A,011546
A,011555
A,011604
A,011703
A,011704
A,011765
A,011775
A,011815
A,011936
A,011983
A,012067
A,012285
A,012297
A,012312
A,012362
A,012374
A,012499
A,012549
A,012555
A,012567
A,012568
A,012624
A,012809
A,012812
A,012879
A,012946
A,012980
A,013043
A,013322
A,013487
A,013495
A,013512
A,013548
A,013564
A,013782
A,013844
A,013998
A,014095
A,014111
A,014214
A,014292
A,014648
A,015136
A,015172
A,015173
A,015204
A,015282
A,015287
A,015448
A,015449
A,015450
A,015452
A,015454
A,015455
A,015456
A,015457
A,015458
A,015459
A,015460
A,015510
A,015553
A,015652
A,015673
A,015841
A,016001
A,016112
A,016171
A,016232
A,016356
A,016450
A,016528
A,016702
A,016748
A,016819
A,016919
A,017335
A,017347
A,017585
A,017637
A,017745
A,017771
A,017848
A,017904
A,018059
A,018092
A,018115
A,018125
A,018204
A,018465
A,018490
A,018839
A,018857
A,018897
A,018927
A,019174
A,019184
A,019212
A,019231
A,019245
A,019293
A,019334
A,019354
A,019381
A,019446
A,019460
A,019495
A,019559
A,019613
A,019647
A,019788
A,019809
A,019968
A,020053
A,020160
A,020176
A,020327
A,020348
A,020653
A,020759
A,021115
A,021154
A,021749
A,021984
A,022218
A,022288
A,022389
A,022532
A,022668
A,022815
A,023017
A,023079
A,023319
A,023415
A,023452
A,023496
A,023570
A,023609
A,023826
A,023970
A,024082
A,024303
A,024491
A,024640
A,024693
A,025055
A,025415
A,026008
A,027456
A,027500
A,027781
A,027847
A,028148
A,028161
A,028216
A,030208
A,030990
A,031476
A,032275
A,032302
A,032865
A,032876
A,033468
A,033578
A,035008
A,035028
A,035056
A,035540
A,035908
A,036059
A,036481
A,037268
A,037439
A,037448
A,037467
A,038516
A,039744
A,039785
A,039920
A,041155
A,042377
A,042518
A,043028
A,043071
A,043210
A,043214
A,043454
A,043466
A,043622
A,044671
A,045640
A,047231
A,047765
A,047823
A,048115
A,048320
A,050001
A,050501
A,050572
A,051019
A,051165
A,051682
A,051867
A,052226
A,052247
A,052387
A,052683
A,053224
A,053234
A,053367
A,053540
A,054391
A,054481
A,054778
A,054818
A,055405
A,055622
A,056255
A,056257
A,056268
A,056475
A,056642
A,058207
A,061171
A,061658
A,061750
A,061995
A,062012
A,062468
A,062644
A,063157
A,063373
A,064486
A,066227
A,066789
A,066979
A,068016
A,069388
A,069812
A,071683
A,074021
A,075489
A,076117
A,076584
A,076720
A,076834
A,076906
A,078395
A,079377
A,079690
A,079849
A,080972
A,081007
A,081389
A,082156
A,082779
A,083338
A,083482
A,084187
A,084867
A,085929
A,086267
A,086950
A,087646
A,087665
A,088217
A,088701
A,088966
A,089210
A,089673
A,089933
A,090001
A,090853
A,090858
A,091387
A,091561
A,092117
A,092131
A,094687
A,095013
A,095564
A,095776
A,096393
A,096856
A,097090
A,098124
A,098273
A,099227
A,108267
A,109448
A,109876
A,109983
A,110669
A,112590
